;author;text;title
315;Charles Wright ;"19. Pensavi di salire e non hai fatto altro che scendere.
Su e giù; che altro lavoro c’è
da fare per te, che altro lavoro in questo mondo?
Le stagioni cedono. Le colline
s’abbassano, e continuano a crescere. I tuoi piedi
si posano come piume sulla terra,
una pennellata qui, un incavo là, sempre senza
un’impronta, e sempre senza direzione.
O così sembra. Ma cos’è, per un uomo vagabondo,
tutto questo, che cerca i mutamenti del salice,
il moto e la striscia di fumo fra le foglie di pioppo,
la danza della scogliera e il cambio del vento,
solo con il gufo e il lombrico
dove tutto è trasformazione vera, tutto è crescita. ";Charles Wright Pelli 
316;Charles Wright ;"IV Cammino nel freddo della notte d’autunno
 
 pieno come Orfeo,
 pensando il mio canto, ansioso di voltarmi,
 la mia vita svanita un ornamento, una nuvola
alla 
 deriva,
 dietro di me,
 leggera trascendenza di cenere
 sepolta e risorta una volta, e poi ancora e ancora. Il marciapiede si srotola come sonno profondo.
 Sopra di me le stelle, stelle austere,
 scoprono il volto.
Nessun 
 cuore batte alla mie spalle,
 
 nessun passo.";Orsa nordamericana
317;Charles Wright ;"Neve

Se noi, come siamo, siamo polvere, e la polvere, com'è certo,
risorge,
allora risorgeremo, e ci raduneremo
nel vento, nella nuvola, e saremo il loro effluvio,

una cascata di cose nella cascata del mondo, e scivoleremo
fra i rami puntuti e le giunture schiantate dei sempreverdi,
formiche bianche, formiche bianche e le piccole nervature.";Neve 
318;Charles Wright ;"Charles Wright

 Neve

Se noi, come siamo, siamo polvere, e la polvere, com'è certo,
 risorge,
 allora risorgeremo, e ci raduneremo
 nel vento, nella nuvola, e saremo il loro effluvio,

 una cascata di cose nella cascata del mondo, e scivoleremo
 fra i rami puntuti e le giunture schiantate dei sempreverdi,
 formiche bianche, formiche bianche e le piccole nervature. Traduzione di Antonella Francini";Charles Wright Neve 
319;Voltaire;"Io di te amavo le calze del colore del fumo.
E gli occhi che avevi di gatta sorniona,
e la voce che aveva frammenti di gelo e fiamme improvvise.
E si svenava nel gemito lungo di dopo l’amore.
Avevi quel modo di offrire il tuo corpo con slancio
e ritrarlo d’un tratto per eccitare e per ritrosia.
Non si capiva la tua convinzione d 'essere frigida.
Tu eri donna assai saggia a dosare gli orgasmi,
volevi che fossero tuoi.
Tu odiavi che io ti chiedessi se avevi goduto,
volevi saperlo tu sola.
È stato sempre un segreto non dettoil nostro piacere.
Per questo io di te avevo una soggezione
che era anche devozione, ripulsa.
Dio mio come è stato difficile amarti,
e come è difficile adesso
amare le donne che sanno donarsi
con le sole riserve che hanno...
Le donne che si sentono donne da uomo.";Il grande fausto
320;Abdulla Goran;"Io vado, madre.
Se non torno,
sarò fiore di questa montagna,
frammento di terra per un mondo
più grande di questo.
Io vado, madre.
Se non torno,
il corpo esploderà là dove si tortura
e lo spirito flagellerà,
come l’uragano, tutte le porte.
Io vado…madre…
Se non torno,
la mia anima sarà parola …
per tutti i poeti.";Io vado, madre.
321;Martha Rivera Garrido;"Non innamorarti di una donna che legge,
di una donna che sente troppo,
di una donna che scrive…
Non innamorarti di una donna colta, maga, delirante, pazza.
Non innamorarti di una donna che pensa,
che sa di sapere e che inoltre è capace di volare,
di una donna che ha fede in se stessa.
Non innamorarti di una donna che ride 
o piange mentre fa l’amore, 
che sa trasformare il suo spirito in carne e, ancor di più,
di una donna che ama la poesia (sono loro le più pericolose),
o di una donna capace di restare mezz’ora davanti a un quadro o che non sa vivere senza la musica.
Non innamorarti di una donna intensa, ludica, 
lucida, ribelle, irriverente.
Che non ti capiti mai di innamorarti di una donna così.
Perché quando ti innamori di una donna del genere,
che rimanga con te oppure no, che ti ami o no,
da una donna così, non si torna indietro.
Mai.";Non innamorarti di una donna che legge
322; Lord Alfred Douglas;" Stanco d’ansie amorose e insonni brame,
 sabbie mobili di una vita infida,
 volli alleviare le mie mani ardenti
 in un placido e gotico crepuscolo.

 Ridendo Amore dispiegò le ali
 più forti delle mie misere piume
 e con serici nastri il cuore affranto
 legò di nuovo a torbide passioni.

 Ma tu, amore, mio fiore e mio gioiello,
 in più gentili modi hai da aiutarmi
 a sopportare Amore: in due è una gioia,

 se sono il solo ad amare è uno strazio.
 Nel diadema d’Amore noi dobbiamo brillare insieme, due contigue stelle.";In Sarum Close
323;Antoine Pol;"Io dedico questa canzone 
ad ogni donna pensata come amore 
in un attimo di libertà 
a quella conosciuta appena 
non c'era tempo e valeva la pena 
di perderci un secolo in più 
A quella quasi da immaginare 
tanto di fretta l'hai vista passare 
dal balcone a un segreto più in là 
e ti piace ricordarne il sorriso 
che non ti ha fatto 
e che tu le hai deciso 
in un vuoto di felicità

Alla compagna di viaggio 
i suoi occhi il più bel paesaggio 
fan sembrare più corto il cammino 
e magari sei l'unico a capirla 
e la fai scendere senza seguirla 
senza averle sfiorato la mano

A quelle che sono già prese 
e che vivendo delle ore deluse 
con un uomo ormai troppo cambiato 
ti hanno lasciato, inutile pazzia 
vedere il fondo della malinconia 
di un avvenire disperato

Immagini care per qualche istante 
sarete presto una folla distante 
scavalcate da un ricordo più vicino 
per poco che la felicità ritorni 
è molto raro che ci si ricordi 
degli episodi del cammino

Ma se la vita smette di aiutarti 
è più difficile dimenticarti 
di quelle felicità interviste 
dei baci che non si è osato dare 
delle occasioni lasciate ad aspettare 
degli occhi mai più rivisti

Allora nei momenti di solitudine 
quando il rimpianto diventa abitudine, 
una maniera di viversi insieme, 
si piangono le labbra assenti 
di tutte le belle passanti 
che non siamo riusciti a trattenere ";Le passanti
324;Maria Luisa Spaziani;"I maestri ci hanno ingannati: sapevano benissimo, a nostra insaputa, che li avremmo traditi.

 *

 Amor che a nullo amato amar perdona... A proposito, quando è stata abrogata questa legge?

 *

 Potessimo almeno fotocopiare questa notte d'amore.

 *

 Il traduttore prese una pallina d'argento e la trasformò in un chewing-gum.

 *

 Nel pieno della sua rapina del 15 dicembre pensò con nostalgia alla tredicesima.

 *

 Forse un giorno un computer perfettissimo riuscirà a correggere i refusi di Dio.

 *

 Una tentazione: rubare il tesoro della formica e darlo alla cicala.

 *

 Bombardato da immagini perse l'immaginazione.

 *

 Oggi la poesia è un movimento clandestino di resistenza.


*

Le bugie che mi diceva erano le uniche testimonianze del suo talento artistico.

*

E ora parliamo un po' di te. Mi ami?

*

Come faccio a fare tutto quello che faccio? Semplice: non faccio altro.";Aforismi 
325;Maria Luisa Spaziani;"Non chiedermi parole oggi non bastano.
Stanno nei dizionari: sia pure imprevedibili
nei loro incastri, sono consunte voci.
È sempre un prevedibile dejà vu.
Vorrei parlare con te - è lo stesso con Dio -
tramite segni umbratili di nervi,
elettrici messaggi che la psiche
trae dal cuore dell’universo.
Un fremere d’antenne, un disegno di danza,
un infinitesimo battere di ciglia,
la musica-ultrasuono che nemmeno
immaginava Bach.";Non chiedermi parole oggi non bastano
326;Nina Cassian;" Per via dell'autunno, preghiamo e piangiamo.
 Il tempo sbadiglia di freddo, voragine profonda.
 Non ci portano al cielo, atroce e lontano,
 né occhio né passo né fionda. Assumiamo volti pallidi, da setta.
 Maniche lunghe su braccia fanatizzate.
 Nascosta nelle maniche è una preda sospetta.
 Nessuno ci interroga, nessuno ci dissuade.

 Racconteremo domani che gli angeli ci volevano rubare
 – gesto molto grave –
 nel bosco, nel nostro vagare,
 Gesù, grondante sangue, la coscia nascosta nel lenzuolo."; La stagione delle visioni 
327;Nina Cassian;" Cosa cerchi tu qui in vesti diafane
 mentre accosti una coppa di parole
 alle labbra indifferenti del tempo?
 chi ti ha fatto credere
 che gli stagni anelano alla luna
 e che un uccello danza al centro della terra?
 Perché non accetti il rifiuto,
 perché non leghi le gambe
 strette strette?
 Quel che accade intorno a te
 non è più affar tuo ."; Interdizione 
328; Sophia de Mello Breyner Andresen;"Quando le luci della notte si rifletteranno immobili
sulle 
 acque verdi di Brindisi
 Lascerai il molo confuso dove si agitano parole
passi 
 remi e macchinari
 L’allegria starà dentro di te accesa come un frutto
 Andrai a prua fra i negrumi della notte
 Senza alcun vento senza alcuna brezza solo un
sussurrare 
 di conchiglia nel silenzio
 Ma dall’improvviso rollio presentirai le cime
 Quando la nave rotolerà nell’oscurità serrata
 Ti troverai spersa all’interno della notte nel
respirare 
 del mare
 Perché questa è la vigilia di una seconda nascita

 Il sole rasentando il mare ti sveglierà nell’intenso 
 azzurro
 Salirai lentamente come i resuscitati
 Avrai recuperato il tuo sigillo la tua saggezza iniziale
 Emergerai confermata e riunita
 Attonita e giovane come le statue arcaiche
 Con i gesti avvinti ancora nelle pieghe del tuo manto. Novità";Unknown
329;Pomponio Torelli;"MEROPE: Figlio mio, amato figlio, ohimè infelice,
quasi t’ho offerto a dispietata morte.
Ahi, che mentr’io di te giusta vendetta
cercava, e del mio duolo e del mio pianto,
di raddoppiar cercava il pianto e ’l duolo.
Ohimè, s’io t’uccidea,
qual Acheloo con le sue lucid’onde
potea giamai lavare
così nefanda abbominevol colpa?
qual pena è così atroce,
dove fiammeggia la città di Dite,
che picciola non fosse a l’error mio?
qual nel profondo centro
ombra sì scelerata erra d’abisso,
che non fugisse al mio primo apparire?
che non temesse a una parola sola
restar contaminata, a un sol mio sguardo?
o che gelato orrore
m’ingombra tutta, mentre ch’io ripenso,
quanto siamo vicini ambeduo stati,
io a l’esser scelerata et empia madre,
e tu per le mie man misero, e morto.
TELEFONTE: Con travagli e perigli
vuol Dio, che qui si compre
lo stabile piacer, la vera lode.
Poni, madre diletta, e mia Signora,
a le triste querele, al pianto fine.
Tempo verrà che con diletto ancora
di rimembrar ci darà grazia il cielo
il presente periglio
e le passate noie.
Io qui tuo figlio, io qui tuo servo sono,
e di quanto soffersi Dio ringrazio,
poich’abbracciarti, e riverirti posso.";dalla Merope
330; Lucio Mariani ;" Rari giorni d’inverno quando la tramontana
 spezza gli aliti al fiume e tende il cielo
 come se contrappunto fosse il giura e invece sono
 queste martoriate pietre che bussano ai lastrici
 divini, la sola porta impropria perché a Roma
 non spettano salvezze. Cosí dicono gli orli delle case
 fratturati cristalli d’arabia, trapunti dalle luci
 e dai suoni mattini, lo dicono fumando i meccanici topi
 e i natali non soffici né sacri, anche lo dicono
 le sue morti feriali, la mia coperta corta. Lo ripetono
 qui – minimamente – i cerini di lusso che s’accendono
 a stento fra le mani di chi non ha piú fede
 nell’avvento di un nuovo nord.
 In questi rari giorni d’inverno
 quando il sole mi pesa cosí poco
 sarà bene tenere alta la testa. Forse si vive
 altrove.";Fine di dicembre
331; Lucio Mariani ;" Lascia che ogni scintilla mangi l'aria
 e arda il fuoco di sterpi e vecchi legni
 che bruci e inventi il ballo delle lingue
 nell'elenco scadito dai suoi rossi
 mentre spietata fiamma ci riduca
 in cenere ogni storia.

 Purché rimanga inusto
 sotto la pietra liscia
 qualche brandello
 di parola vera
 che colpisca alla testa il mio lettore.";Istruzioni
332;Delio Tessa ;"De quell nagott che foo, de quell’eterno
nagotta che mi foo, no me rebelli,
Olga, no me rebelli! o vita andada,
vita strascia de mi... viva l’inferno
alegher della toa gent desculada!
Dent in quell gran somenament de piattol
e de scimes, buttaa là come on roj,
ponzi sul lett di troj! o Capa-vacca,
o ti Olga dà a trà! A grann e a raccol
tirom a carettà ch’el se impocciacca
el mond de prepotent e de cagoni!
O ti, sapienta donna, de coscenza,
spua la toa sentenza, su coss’hin
i omen... foeura... foeura... di cojoni...!
“Ruffian... ruffian... ruffian... ecco coss’hin
i omen!” “Olga, e i donn?” “I donn? ... hin vacch,
hin vacch i donn... vacch e ruffian... e ti...”
“sì... sì... cossa son mi? ...” “te voeut savell
coss te disen a ti? proeuva a ciamagh
al primm che ven... l’è l’avvocatt porscell!”
Semm su la Vedra al quindes e ghe stemm!
Me senti incoeu el rebuij della mattana,
senti che se destana ammò dopo tant ann
la voeuja de cantà... Olga, cantemm!
O Piazza della Vedra... o carampann
de cà... o tanabus... buej... ratter...
o tosann della vita... o casotej
vecc de cinquanta gheij e la minestra!
In qui sepolcher, in qui scorpioner
- sprangh alla porta, stoppa la finestra -
gh’era su de qui facc de brentador,
te tiraven a voltra de qui gamb...
e la metress al banch?!... quell’assabesa
col fà de lavandera de color!...
... gh’era la Carmen gh’era la Francesa ...
bozzaven de bell primm a tutta possa
e ciaccolaven; ma de quindesina
in quindesina, ghe calava i ari,
all’oli de la lumm, all’aria possa
se padimaven in qui colombari.
Cantemm, Olga, cantemm de qui tosann
antich la grama sorta, l’ultem pass
de quand hin sul quarciass a la cà bassa;
là denter ghe inveggiaven ann e ann,
ghe marsciven là denter tutta grassa
e acqua, sfacchinaven... su e giò...
e giò e su, col debet a la cà,
incadenaa a la cà come i baìra
a la terra... talment che invers i dò
de la mattina pu no sospiraven
che de buttass sul lecc, de restà là!...";da La poesia della Olga
333;Roberto Juarroz;" Si deve cadere e non si può scegliere dove.
Ma c'è una forma del vento nei capelli,
una pausa del colpo,
un certo angolo del braccio
che possiamo piegare mentre cadiamo.

È soltanto l'estremo di un segno,
 la punta impreveduta di un pensiero.
 Ma basta ad evitare il fondo avaro di alcune mani
 e la miseria azzurra di un Dio deserto.

 Si tratta di piegare un po' di più una virgola
 in un testo che non possiamo correggere ."; Si deve cadere e non si può scegliere dove... 
334;Roberto Juarroz;" Penso che in questo momento
 forse nessuno pensa a me nell'universo,
 che solo io mi penso,
 e se morissi ora,
 nessuno, neppure io, mi penserebbe.

 E qui inizia l'abisso,
 come quando mi addormento.
 Sono il mio sostegno e me lo tolgo.
 Contribuisco a rivestire tutto di assenza.

 Sarà per questo
 che pensare ad un uomo
 assomiglia a salvarlo ."; Penso che in questo momento... 
335;Pedro Tamen ;" Sei nata là dove i cavalli bevono,
dove i fiumi volgono verso il vento
e i venti l’uno all’altro si perseguono
fino al nodo del loro nutrimento.

Sei venuta da dove si scolora
lenta la notte in cactus e amaranto;
e il papavero aperto non si finge
altro che il grido, la pace e il sigillo

degli elementi puri, l’allegria

del silenzio appena generato
– proprio come te, che stai in periferia

piena di centro, e di forza di vivere
l’ora lunga dell’iniziale giorno
nella ferma umiltà di apparire.";Sei nata là dove i cavalli bevono 
336;Matthias Claudius;" Concepito e allevato
Da una donna, oh portento,
 Egli giunge, ode e vede,
E dell'inganno non s'avvede;
 Nutre desideri e brame,
Con qualche lacrima geme;
 Disprezza ed onora,
Periglio e gioia assapora;
 Crede, dubita, delira, istruisce etc.
Tutto e nulla vero definisce;
 Edifica e annienta;
E sempre si tormenta;
 Dorme, veglia, cresce, deperisce:
La sua chioma scura incanutisce.
 E tutto questo, se va bene, dura,
Soltanto per ottanta primavere
 Poi a fianco dei suoi avi si distende
 E mai più di ritornar gli si consente. ";L'uomo
337;Raffaele Carrieri;"Il falegname che batte il legno
nulla sa di ciò che duole e non duole
e ha cura della sua mano
quando forte percuote.
Nessun legno ha mai detto:
ahi! falegname, mi fai male!
La pietra si lascia rompere
dal tagliapietre,
l'asino del padrone.
Questo povero animale
poggiato come un arnese
l'asino è di Gerona.";L'asino di Gerona
338;Raffaele Carrieri;"alla madre
Addio addio mi dicevi senza parlare.
Fra me e te
il silenzio si faceva greve 
per l'ansioso tacere 
di quell'addio tenace 
che le distanze 
scioglieva alle pene. 
A palpebre socchiuse 
con gli sguardi e le mani 
negli angoli cercavi
quel che ti era caro.
Saliva il braccio 
come un ramo scarno
e la poca tua vita
tutta era nell'addio.";Addio addio mi dicevi
339;Raffaele Carrieri;"Ventagli chi vuole ventagli?
Vendo il vento in ritagli:
Chi vuole ventagli d’aria?
Mia giuliva pazzia,
Zèfiro sono al mattino
E a vespro Ponentino.
Chi vuole ventole-stornelli?
Intreccio piumette e piume
Per scacciar le brume
Dai tuoi capelli.";Il venditore di ventagli
340;Raffaele Carrieri;"Al chiuso restarono le donne
come ombre di rondini
sui muri di calce.
Su moli e gettate
nessuno pianse
la partenza dei braccianti.
";I braccianti
341;Raffaele Carrieri;"A secco ho tirato la mia barca
e l'acqua mi ha compianto,
ha compianto il vecchio marinaio.
Nella bonaccia nella tempesta
fedele sono stato alla mia barca.
Lontano va il mare e non si stanza.";La mia barca
342;Raffaele Carrieri;"Nel meriggio di fuoco
dava cornate il sole
e mi strappava
senza sangue il cuore.
Fuggevole un'ombra,
una sola colomba
muovendo appena le ali
fresco rifece amore
coi suoi aliti.
 
 Indietro Avanti 
COMMENTI
POTREBBERO INTERESSARTI
";A Siviglia una colomba
343;Raffaele Carrieri;"La notte il gabelliere
è più povero di Giobbe:


la lepre ha la tana
la pecora la lana
 la foglia è compagna
di un'altra foglia.
Non c'è formica
senza formicaio
né cuculo senzabete.
 Il nespolo fa il frutto
l'ape il miele
l'inverno porta neve.
In ogni stagione
il gabelliere sconta
 il peggio della notte.
Travaglio di vento
tormento di sonno.
Chi rimuove lo stagno,
chi passa nel trifoglio?
All'erta gabelliere
è la Signora Morte.";Notte del gabelliere
344;Raffaele Carrieri;"alla madre)
Quante guerre e tempeste
per una sola vita.
Solerte come la formica
hai sospinto la briciola
e fatto il tetto.
M'hai portato nel petto
come la spina trovatella
che può diventar fiore
ma pure chiodo o stella.
Quante offese, quante rese,
mani aperte, porte chiuse;
come il sale dentro il mare
mai nessuno ci divise.";Mai nessuno ci divise
345;Raffaele Carrieri;"Le parole che dice
non dicono niente.
Ma quando ride,
e ride sovente,
il silenzio splende
la morte si diverte.";Le parole che dice
346;Raffaele Carrieri;"per te canto.
Per te canto
che stai zitta,
sola in ombra
nella casa grande.
Si addice al mio verso

Si addice al mio verso
l'andamento leggiero
e l'odore bruciato
del fuggiasco.

Si addice il vento caldo
che fa spuntare
astri all'aglio
nella fornace di sabbia.

Nasce per la rabbia
lo spinoso cardo
e la capra consola
col suo fiore.";Io che sono Cicala
347;Raffaele Carrieri;"Ovunque mi conduce la tua voce 
pascoli trovo e fuochi per l'inverno.
Ritorna abete la porta chiusa
passano fiumi sopra le ore
cadono muri senza rumore
quando vado con la tua voce.";Ovunque mi conduce la tua voce
348;Raffaele Carrieri;"Quello che sono e sono stato
domandatelo alle strade
dei paesi della sete.
Tufi lucertole spine,
bell'uva sulle colline
dove fui ladro di galline.
Strade di cenere e pomice
lavorate dallo scorpione.
Dove ramingo io vissi
la cicala ancora muore.

Quello che sono e sono stato
domandatelo alle strade.
Una dice, scatenato!
E mostra le ferite
che fuggendo ho lasciato.
Dalle braccia di mia madre
dalle mani dell'amata
sempre fuggiasco sono stato.
Da me solo inseguito
braccato, colpito.
Re per un giorno
per cent'anni povero.
Soldato bracciante gabelliere:
su ogni nuova strada
nuovo mestiere.
Domandate ai sentieri della neve
alle doline alle cordigliere
quello che sono e sono stato.
Domandatelo alle strade.
Alla malora carte
cartigli e scartoffie
che potevano darmi gloria.
La vita ho consumato
su carta e inchiostro.
Mio Dio quanto ho limato
notte e giorno.
Mio Dio quanto ho penato.";Le strade
349;Raffaele Carrieri;"Nella molto ricca città di Dallas
la Speranza si mise a piangere
e il sole si nascose per non vedere.
Nella bandiera dello Stato del Texas
c'è una sola stella
e quell'unica solitaria stella
quel venerdì diventò nera.
Nella molto ricca città di Dallas
la Speranza piangeva.
All'oscuro la Speranza piangeva
perché la luce era diventata nera
e la verità cieca.
Le campane, le campane, tutte le campane
delle ottocento chiese
della molto ricca città di Dallas
la sera del venerdì restarono mute,
mute in gramaglie.
E quando il lutto le scosse,
quando il lutto le percosse,
le campane, le campane, tutte le campane
della molto ricca città di Dallas
si misero a piangere la morte.";La morte di Kennedy
350;Raffaele Carrieri;"Fra la gente vivo
e ballo da solo.
Di ragione privo
un poco mi consolo
di ciò che manca.
musica, musica!";Fra la gente vivo
351;Raffaele Carrieri;"Pietà, pietà cuori duri 
pietà per l'uccello migratore 
che ha perduto un'ala in volo. 
Pietà per l'orfano gitano 
che s'è giocato a carte 
sella e cavallo 
suicida in una prigione. 
Pietà per il giovane Nessuno 
ucciso in Cina 
o un qualsiasi altro luogo 
clima razza condizione. 
Pietà per chi muore all'impiedi 
dentro una camera d'affitto. 
Pietà per chi cade 
pietà per chi si lascia cadere. 
Pietà, pietà cuori duri 
voi che siete sempre seduti 
e apprendete dai giornali 
la morte degli altri.";Pietà cuori duri
352;Raffaele Carrieri;"Adoro la donna pesce
dal riflesso sfuggente.
Quella io adoro
che all'oscuro
fa luce
e subito dispare.";Quella io adoro
353;Raffaele Carrieri;"Il silenzio non mi salva
la parola non mi aiuta.
Muri aggiungo muri tolgo.
Più mi scopro più mi nascondo";Il silenzio non mi salva
354;Raffaele Carrieri;"Ahi che marzo affabile 
Fu quell'anno a Gaggiano. 
Un precoce anticipo d'aprile 
Come può sognare 
Un pioppo solitario 
Che si specchia e s'inganna 
Fra le strisce della risaia.

Tiepida era l'aria 
Nell'immoto rilucere; 
Le acque nei canali 
Spingevano la luce 
Verso tenere praterie.

Ahi che marzo specchiato 
Fu quell'anno! 
Al margine dei fossi  le giunchiglie 
Avevano una notte 
Ed erano già gialle. 

L'odore dello strame 
Riscaldava le acque 
Andavano a giunchiglie 
Gli amanti andavano del mese di marzo. 
In volo le ali dei passeri ";Marzo in Lombardia
355;Raffaele Carrieri;"Una sera entrò un colombo.
Era estate ero stanco
La finestra era aperta.
Il colombo grigio bianco
Entrò mi guardò fece segno:
Aveva un'ala rotta.
Gli detti casa e casato.
Lo chiamai Davide
E molto invidiai
La sua allegria.
Per lunghi giorni
Mi tenne compagnia. .
Una sera se ne andò:
Era infermo era allegro
Lo trovai morto nel giardino.";Il colombo Davide
356;Marie Luise Kaschnitz;;Resurrezione
357;Fulvio Testi ;"Carlo, quel generoso invitto core,
da cui spera soccorso Italia oppressa,
a che bada? a che tarda? a che più cessa?
Nostre perdite son le tue dimore.
Spiega l’insegne omai, le schiere aduna,
fa’ che le tue vittorie il mondo veggia;
per te milita il Ciel, per te guerreggia,
fatta del tuo valor serva, Fortuna.
La Reina del mar riposi il fianco,
si lisci il volto e s’inanelli il crine;
e mirando le guerre a sé vicine
seggia ozioso infra le mense il Franco.
Se ne’ perigli de l’incerto Marte
non hai compagno e la tua spada è sola,
non ten caglia, Signor, e ti consola
ch’altri non fia de le tue glorie a parte.
Gran cose ardisce, è ver, gran prove tenta
tuo magnanimo cor, tua destra forte,
ma non inalza i timidi la sorte,
e non trionfa mai uom che paventa.
Per dirupate vie vassi a la gloria,
e la strada d’onor di sterpi è piena;
non vinse alcun senza fatica e pena,
ché compagna del rischio è la vittoria.
Chi fia, se tu non se’, che rompa il laccio
onde tant’anni avvinta Esperia giace?
Posta ne la tua spada è la sua pace,
e la sua libertà sta nel tuo braccio.
Carlo, se ’l tuo valor quest’Idra ancide
che fa con tanti capi al mondo guerra,
se questo Gerion da te s’atterra
ch’ Italia opprime, i’ vo’ chiamarti Alcide.
Non isdegnar frattanto i prieghi e i carmi
che ti porgiamo, e tua bontà n’ascolti,
fin che di servitù liberi e sciolti
t’alziamo i bronzi e ti sacriamo i marmi.";All’Altezza del duca di Savoia
358;Baldassarre Castiglione;"Superbi colli, e voi sacre ruine, 
che ’l nome sol di Roma ancor tenete, 
ahi che reliquie miserande avete 
di tant’anime eccelse e pellegrine! 
Colossi, archi, teatri, opre divine, 
trïonfal pompe glorïose e liete, 
in poco cener pur converse siete 
e fatte al vulgo vil favola alfine. 
Così, se ben un tempo al tempo guerra 
fanno l’opre famose, a passo lento 
e l’opre e i nomi il tempo invido atterra. 
Vivrò dunque fra’ miei martir contento; 
ché se ’l tempo dà fine a ciò ch’è in terra, 
darà forse ancor fine al mio tormento.";Superbi colli
359;Elizabeth Eleanor Siddal;"Foglie d'autunno cadon lentamente
 sulla sua tomba recente
 l'erba alta s'inchina ad ascoltare
 il mormorio dell'onda di quel mare.";Frammento 
360;Anna Achmàtova;"Strinsi le mani sotto il velo oscuro...
“Perché oggi sei pallida?”
Perché d’agra tristezza
l’ho abbeverato fino ad ubriacarlo.

Come dimenticare? Uscì vacillando,
sulla bocca una smorfia di dolore...
Corsi senza sfiorare la ringhiera,
corsi dietro di lui fino al portone.

Soffocando, gridai: “E’ stato tutto
uno scherzo. Muoio se te ne vai”.
Lui sorrise calmo, crudele
e mi disse: “Non startene al vento.”";Strinsi le mani sotto il velo oscuro...
361;Anna Achmàtova;"Ah, tu pensavi che anch’io fossi una
che si possa dimenticare
e che si butti, pregando e piangendo,
sotto gli zoccoli di un baio.

O prenda a chiedere alle maghe
radichette nell’acqua incantata,
e ti invii il regalo terribile
di un fazzoletto odoroso e fatale.

Sii maledetto. Non sfiorerò con gemiti
o sguardi l’anima dannata,
ma ti giuro sul paradiso,
sull’icona miracolosa
e sull’ebbrezza delle nostre notti ardenti:
mai più tornerò da te.";Ah, tu pensavi che anch’io fossi una
362;Anna Achmàtova;"Il miele selvatico sa di libertà,
la polvere del raggio di sole,
la bocca verginale di viola,
e l’oro di nulla.
La reseda sa d’acqua,
e l’amore di mela,
ma noi abbiamo appreso per sempre
che il sangue sa solo di sangue...

Invano il procuratore romano,
tra gridi sinistri della plebe,
lavò davanti al popolo le mani,
e invano la regina di Scozia
tergeva da rossi schizzi
le palme affusolate, nell’afosa
oscurità del palazzo reale...";Il miele selvatico sa di libertà
363;Anna Achmàtova;"Io sono la vostra voce, il calore del vostro fiato,
il riflesso del vostro volto,
i vani palpiti di vane ali...
fa lo stesso, sino alla fine io sto con voi.

Ecco perché amate così cúpidi
me, nel mio peccato e nel mio male,
perché affidaste a me ciecamente
il migliore dei vostri figli;
perché nemmeno chiedeste di lui,
mai, e la mia casa vuota per sempre
velaste di fumose lodi.
E dicono: non ci si può fondere più strettamente,
non si può amare più perdutamente...

Come vuole l’ombra staccarsi dal corpo,
come vuole la carne separarsi dall’anima,
così io adesso voglio essere scordata.";A molti
364;Anna Achmàtova;"Lascio la casa bianca e il muto giardino.
Deserta e luminosa mi sarà la vita.
Nessuna donna saprà cullarti
come io ti celebro nei miei versi:
non scordare la tua cara amica
nell’Eden che hai creato per i suoi occhi,
per me che spaccio una merce rarissima
e vendo il tuo tenerissimo amore.";Lascio la casa bianca e il muto giardino
365;Anna Achmàtova;"Colombaia dorata sull'acqua,
tenera e verde struggente,
e una brezza marina che spazza
la scia sottile delle barche nere.

Che dolci, strani volti tra la folla,
nelle botteghe lucenti balocchi:
un leone col libro su un cuscino a ricami,
un leone col libro su una colonna di marmo.

Come su di un'antica tela scolorita,
il cielo azzurro fioco si rapprende...
ma non si è stretti in quest'angustia,
e non opprimono l'umido e l'afa.";Venezia
366;Anna Achmàtova;"C’è nell’intimità degli uomini un confine
che né l’amore, né la passione possono osare:
le labbra si fondono nel terribile silenzio
e il cuore si spezza per amore.

Anche l’amicizia qui è impotente, e gli anni
pieni di felicità alta infiammata,
quando l’anima è libera e distratta
dal lento languore della voluttà.

Pazzo è colui che vi si appresta,
raggiungerlo è morire d’angoscia...
Ora puoi capire perché non batte
il mio cuore sotto la tua mano.";C’è nell’intimità degli uomini un confine
367;Anna Achmàtova;"Ho davanti la via isoscele
della sera.
Già ieri, innamorato,
supplicava: “Non dimenticarmi”.
E adesso solamente i venti
e i gridi dei pastori
e i cedri agitati
sopra fresche fontane.";Distacco
368;Anna Achmàtova;"Al collo un filo di esili grani,
celo le mani nel largo manicotto,
gli occhi guardano distratti
e non piangeranno mai più.

Sembra il volto più pallido
per la seta che tende al lilla,
arriva quasi alle sopracciglia
la mia frangetta non ondulata.

E non somiglia ad un volo
questa lenta andatura, quasi avessi
sotto i piedi una zattera
e non i quadretti del parquet.

La bocca bianca è socchiusa,
ineguale il respiro affannato,
e sul mio petto tremano i fiori
dell’incontro che non c’è stato.";Al collo un filo di esili grani
369;Anna Achmàtova;"Ho smesso di sorridere,
le labbra sono gelate,
ad una sola speranza
segue più di una canzone.
Senza colpa cederò il canto
al riso e alla profanazione,
ché al colmo del dolore
per l’anima è il silenzio
d’amore.";Ho smesso di sorridere
